sample       total_count  b_cell%    cd8_t_cell%  cd4_t_cell%  nk_cell%   monocyte%   
sample00000  93214        11.7       26.22        21.98        14.87      25.22       
sample00001  100824       6.72       19.25        33.19        18.02      22.82       
sample00002  92822        10.55      24.71        26.15        18.83      19.75       
sample00003  93160        10.82      21.76        38.81        15.07      13.54       
sample00004  107903       4.05       31.3         35.49        15.32      13.84       
sample00005  105359       14.65      30.32        29.24        10.82      14.98       
sample00006  99774        5.91       31.37        28.38        12.68      21.65       
sample00007  98424        10.57      13.72        34.41        22.98      18.32       
sample00008  90353        9.77       29.01        23.58        19.51      18.13       
sample00009  95821        7.98       34.79        22.02        18.85      16.36       
sample00010  107537       12.28      19.84        25.92        12.28      29.68       
sample00011  89815        11.83      22.03        32.72        15.05      18.37       
sample00012  109579       12.89      19.82        36.8         13.33      17.16       
sample00013  109488       9.76       18.26        28.95        22.87      20.16       
sample00014  92904        6.58       27.83        29.3         9.96       26.33       
sample00015  102691       8.04       20.96        35.27        15.34      20.39       
sample00016  95824        7.76       23.88        35.36        9.84       23.16       
sample00017  98639        3.27       20.69        36.91        21.03      18.11       
sample00018  101123       3.54       29.19        32.31        15.36      19.59       
sample00019  97405        8.24       27.9         31.58        11.28      21.01       
sample00020  97228        6.56       17.97        33.66        18.57      23.23       
sample00021  100750       10.26      19.0         31.3         12.67      26.77       
sample00022  92670        10.32      24.2         35.41        12.48      17.59       
sample00023  104960       6.6        26.75        28.43        15.05      23.17       
sample00024  99969        7.55       27.83        35.28        19.69      9.65        
sample00025  95534        12.26      22.41        31.74        21.25      12.34       
sample00026  95777        8.29       24.83        36.07        14.54      16.27       
sample00027  93164        9.5        22.83        27.99        19.53      20.15       
sample00028  106062       10.74      26.55        26.78        8.36       27.58       
sample00029  97156        5.77       29.31        32.22        16.32      16.37       
sample00030  93972        6.82       26.78        21.75        23.75      20.9        
sample00031  106625       6.57       28.59        29.69        13.29      21.87       
sample00032  101357       10.97      19.44        32.15        20.33      17.12       
sample00033  93131        9.72       34.02        26.73        16.72      12.81       
sample00034  103870       8.04       25.54        35.35        10.58      20.49       
sample00035  94622        5.63       29.69        40.44        7.66       16.58       
sample00036  103532       8.34       28.45        30.7         15.94      16.57       
sample00037  92368        9.65       22.75        26.59        15.55      25.45       
sample00038  98897        12.2       19.13        33.48        14.54      20.65       
sample00039  107756       13.58      24.95        32.99        11.02      17.46       
sample00040  105943       10.39      24.28        24.42        17.3       23.61       
sample00041  91358        12.68      25.74        24.72        15.8       21.06       
sample00042  111631       10.86      20.01        37.09        16.72      15.33       
sample00043  104827       4.53       22.47        34.72        15.04      23.24       
sample00044  106034       14.89      23.91        34.92        13.18      13.1        
sample00045  104473       13.2       25.19        32.27        16.37      12.97       
sample00046  105731       7.31       24.08        27.64        16.93      24.05       
sample00047  93338        8.84       22.03        40.28        11.85      17.0        
sample00048  105178       12.98      30.96        29.62        9.82       16.62       
sample00049  104513       10.93      19.91        28.59        20.79      19.78       
sample00050  106504       13.25      30.7         30.83        13.11      12.11       
sample00051  88918        10.98      24.32        28.84        14.26      21.6        
sample00052  95942        11.59      32.02        22.81        12.13      21.45       
sample00053  99135        11.93      26.98        30.85        7.5        22.74       
sample00054  99486        7.82       26.37        26.54        18.42      20.85       
sample00055  101344       11.49      22.86        34.45        15.19      16.01       
sample00056  92361        11.93      20.33        26.71        19.26      21.76       
sample00057  111127       13.64      17.99        36.81        10.13      21.43       
sample00058  93201        11.28      21.88        30.64        17.49      18.71       
sample00059  108944       16.1       22.65        30.31        13.07      17.86       
sample00060  103534       10.66      20.68        37.49        14.06      17.11       
sample00061  111970       4.03       31.14        34.19        14.3       16.34       
sample00062  95286        10.56      21.1         22.62        18.37      27.35       
sample00063  93940        7.7        34.5         31.23        11.13      15.44       
sample00064  109577       9.31       22.67        30.6         14.88      22.54       
sample00065  92559        9.1        30.57        26.74        13.07      20.52       
sample00066  107284       7.51       32.92        34.81        12.98      11.77       
sample00067  107589       11.04      22.41        27.38        19.89      19.27       
sample00068  110245       9.53       30.66        32.16        6.71       20.94       
sample00069  110094       10.67      28.0         31.87        11.72      17.74       
sample00070  97532        9.36       21.81        32.26        16.31      20.26       
sample00071  96197        5.23       20.36        37.44        20.37      16.6        
sample00072  93613        9.33       28.31        24.01        17.73      20.62       
sample00073  104898       9.94       27.59        25.27        18.54      18.65       
sample00074  92232        14.27      20.18        36.54        16.87      12.14       
sample00075  104711       13.83      25.27        31.66        14.31      14.94       
sample00076  110097       11.25      21.58        33.92        14.26      18.99       
sample00077  105432       9.11       17.78        40.34        15.75      17.03       
sample00078  107869       5.21       30.58        24.9         17.38      21.94       
sample00079  99165        5.84       32.28        32.39        10.88      18.6        
sample00080  95727        5.77       23.85        32.39        18.23      19.76       
sample00081  93286        10.29      20.3         33.49        15.63      20.29       
sample00082  103389       5.87       30.17        29.55        17.31      17.1        
sample00083  88242        8.28       26.3         26.93        18.63      19.86       
sample00084  100815       10.38      24.79        28.11        17.98      18.73       
sample00085  102542       13.43      31.58        25.57        16.84      12.59       
sample00086  105610       11.82      17.37        29.8         25.24      15.78       
sample00087  91946        6.18       23.81        29.2         13.51      27.29       
sample00088  101732       6.77       23.43        30.74        18.67      20.39       
sample00089  107271       13.45      22.12        29.6         14.25      20.57       
sample00090  102290       13.19      20.03        26.16        17.7       22.92       
sample00091  102598       4.53       29.72        32.93        17.43      15.39       
sample00092  113429       6.62       20.24        32.74        19.89      20.51       
sample00093  109064       7.95       20.99        30.51        25.19      15.35       
sample00094  102270       13.16      19.45        23.27        18.81      25.31       
sample00095  93081        5.26       31.18        19.07        14.59      29.91       
sample00096  108158       8.06       27.15        28.71        12.49      23.59       
sample00097  100776       11.38      25.71        25.45        10.92      26.54       
sample00098  105304       9.95       24.26        29.75        13.73      22.31       
sample00099  107859       11.67      28.08        28.13        17.05      15.07       
sample00100  106648       12.12      23.19        30.07        18.13      16.49       
sample00101  100154       18.55      28.47        23.42        11.91      17.65       
sample00102  102212       15.99      15.59        30.1         16.27      22.05       
sample00103  109022       8.11       27.15        37.38        8.61       18.74       
sample00104  110049       6.37       20.28        34.24        20.76      18.36       
sample00105  97807        10.89      21.35        27.67        15.28      24.81       
sample00106  93933        11.04      18.32        33.52        16.16      20.95       
sample00107  102371       17.21      22.4         40.17        10.29      9.92        
sample00108  97245        5.12       28.34        26.96        17.49      22.09       
sample00109  104944       12.87      19.48        35.58        18.68      13.38       
sample00110  97311        11.79      24.09        34.99        13.75      15.37       
sample00111  102821       15.55      22.73        34.64        14.98      12.1        
